RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
10,1856,Inv. 1876-77,Whole,N/A,FLUCTUATION THERMOMETER,loaned,FLUCTUATION THERMOMETER,"This instrument was designed and used by Prof. Balfour Stewart in 1856 to measure the sum of the fluctuations of temperature. Advantage is taken of the difference of capillary force and friction in two tubes of different capacity connected with the same bulb. The thermometer, which consists of two tubes of different bores connected by a bulb in the centre, is set in a horizontal position, when an increase of tem- perature causes the mercury in the wider tube to move from the bulb towards the end, but with a decrease in temperature the mercury in the tube of narrower bore moves towards the bulb. Thus with all changes there is a movement of the mercury in the direction of the extremity of the wider tube, towards which the mercury steadily creeps. The instrument is fitted with a scale, divided into two parts, and graduated from 0 to 180, by means of which the amount of fluctu- ation during any interval of time can be ascertained. The thermometer is set for observation by standing it on end.",,,"[{'name': 'Balfour Stewart', 'role': 'designer'}, {'name': 'Balfour Stewart', 'role': 'user'}, {'name': 'Prof. Balfour Stewart', 'role': 'donor'}]",,1856,['mercury'],['0 to 180'],"This instrument was designed and used by Prof. Balfour Stewart in 1856 to measure the sum of the fluctuations of temperature. Advantage is taken of the difference of capillary force and friction in two tubes of different capacity connected with the same bulb. The thermometer, which consists of two tubes of different bores connected by a bulb in the centre, is set in a horizontal position, when an increase of tem- perature causes the mercury in the wider tube to move from the bulb towards the end, but with a decrease in temperature the mercury in the tube of narrower bore moves towards the bulb. Thus with all changes there is a movement of the mercury in the direction of the extremity of the wider tube, towards which the mercury steadily creeps. The instrument is fitted with a scale, divided into two parts, and graduated from 0 to 180, by means of which the amount of fluctu- ation during any interval of time can be ascertained. The thermometer is set for observation by standing it on end.","Proc. Roy. Soc., Vol. VIII, 1856–7, p. 195.",1856-7,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
11,,1915-153,Whole,N/A,BALFOUR STEWART’S EXPERIMENTAL THERMOMETERS,loaned,EXPERIMENTAL THERMOMETERS,"These experimental mercury-in-glass thermometers are of unique design. Each instrument possesses a central bulb and two stems, which are differently disposed in the three cases. In the longest instrument, a large bulb lies between the two portions of a capillary tube 19 3/8 in. long, while in the smallest one the bulb is situated at the lowest point of a U-tube, formed by two stems of different bore, one of them being enamelled behind the mercury column. In the other thermometer, the bulb is situated at the lower extremity of one of the stems, the second stem joining the first one about $\frac{3}{8}$ in. above the bulb, the two stems being parallel and about $\frac{3}{8}$ in. apart.",,,"[{'name': 'BALFOUR STEWART', 'role': 'maker'}, {'name': 'The Meteorological Office', 'role': 'lender'}]",,,"['mercury', 'glass']","['19 3/8 in.', '$\\frac{3}{8}$ in.']",experimental thermometers of unique design,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
12,,1886-77,Whole,N/A,,donated,CHRONOTHERMOMETER,This instrument was designed by Mr. Stanley in 1876 for registering temperature cumulatively. An increase of temperature of 1° F. is found to accelerate the clock by 17·5 beats per day.,,,"[{'name': 'W. F. Stanley', 'role': 'maker'}, {'name': 'W. F. Stanley', 'role': 'presenter'}]",[],1876,[],[],This instrument was designed for registering temperature cumulatively. An increase of temperature of 1° F. is found to accelerate the clock by 17·5 beats per day.,,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Esq.']}"
13,,1893-155,Whole,N/A,SYMONS’S EARTH THERMOMETER,loaned,Earth Thermometer,This arrangement was designed by G. J. Symons to obviate the difficulties encountered in obtaining ground temperature at different depths.,,,"[{'name': 'L. Casella', 'role': 'Lender'}, {'name': 'G. J. Symons', 'role': 'Designer'}]",,,,,This arrangement was designed to obviate the difficulties encountered in obtaining ground temperature at different depths.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
14,,1915-154,Whole,N/A,HOLLOW BULB THERMOMETER,loaned,HOLLOW BULB THERMOMETER,"The bulb of this thermometer is of annular form, and encloses a cylindrical air space running almost the whole length of the bulb, thereby exposing a larger area, and accelerating the action of the thermometer.",,,"[{'name': 'The Meteorological Office', 'role': 'lender'}]",,,,,"The bulb of this thermometer is of annular form, and encloses a cylindrical air space running almost the whole length of the bulb, thereby exposing a larger area, and accelerating the action of the thermometer.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
15,1915-155,,Whole,N/A,,loaned,THERMOMETER WITH ENCLOSED LIMB,"This is a mercury-in-glass thermometer, with the stem and graduated scale enclosed in a glass tube.",,mercury,"[{'name': 'J. G. H. Ronketti', 'role': 'maker'}, {'name': 'The Meteorological Office', 'role': 'lender'}]",['London'],,glass;mercury,,,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
16,1892-154,,Whole,N/A,,loaned,WATER THERMOMETER,"This thermometer is designed specially for measuring the temperature of water, and is of the type supplied to observers at sea.",,,"[{'name': 'Negretti and Zambra', 'role': 'maker'}]",,,,,"This thermometer is designed specially for measuring the temperature of water, and is of the type supplied to observers at sea.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Messrs.']}"
17,1911-168,,Whole,N/A,,loaned,BOILING POINT THERMOMETER,"This boiling point thermometer was used on the British (""Discovery"") Antarctic Expedition of 1901, and is adapted for hypsometrical measurements. It is a mercury-in-glass thermometer graduated to read from 180° F. to 215° F. in fifths of a degree. Immediately above the bulb is an enlargement of the bore.",,,"[{'name': 'Casella', 'role': 'maker'}, {'name': 'The Admiralty', 'role': 'donor'}]",[],1901,mercury-in-glass,180° F. to 215° F.,adapted for hypsometrical measurements.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
18,,1894-117,Whole,N/A,BALLOON THERMOMETER,loaned,BALLOON THERMOMETER,"This very sensitive thermometer was constructed by Casella in order to obtain accurate indications of the temperature of the layers of air through which a balloon might be passing rapidly. It is a mercury-in-glass thermometer, provided with a long bulb of narrow bore, and mounted fully exposed to the air, so as to reduce the lag to a minimum. Its delicacy of construction, however, renders it very fragile, and liable to damage from the bumping which frequently accompanies balloon descents. It is graduated in degrees from -10° to 105° F.",,fragile,"[{'name': 'Casella', 'role': 'constructor'}, {'name': 'The Meteorological Office', 'role': 'donor'}]",,,mercury-in-glass,-10° to 105° F,"This very sensitive thermometer was constructed in order to obtain accurate indications of the temperature of the layers of air through which a balloon might be passing rapidly. Its delicacy of construction, however, renders it very fragile, and liable to damage from the bumping which frequently accompanies balloon descents.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
19,,1919-516,Whole,N/A,AEROPLANE THERMOMETER,loaned,AEROPLANE THERMOMETER,"This thermometer was designed for use on aeroplanes, for indicating atmospheric temperature. It has now been replaced by an improved type. The instrument consists of a large bulb filled with coloured liquid, which also partially fills the long column. The bulb is enclosed in a polished metal cover, which affords protection from sunshine, and is ventilated to allow free passage of the air. The thermometer, which is mounted on a strut of the aeroplane some distance from the engine, is somewhat sluggish in action, and is unreliable when the machine is ascending or descending rapidly. It is graduated in degrees from 40° to 82° F.",,,"[{'name': 'Hicks', 'role': 'made'}, {'name': 'The Meteorological Office', 'role': 'donor'}]",[],,"['coloured liquid', 'polished metal']",['40° to 82° F'],"This thermometer was designed for use on aeroplanes, for indicating atmospheric temperature. It has now been replaced by an improved type. The thermometer, which is mounted on a strut of the aeroplane some distance from the engine, is somewhat sluggish in action, and is unreliable when the machine is ascending or descending rapidly.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
20,,1893-153,Whole,N/A,PHILLIPS'S MAXIMUM THERMOMETER,loaned,MAXIMUM THERMOMETER,"This type of thermometer, in which the temperature is registered by means of a separate portion of the column, was designed by Prof. Phillips in 1832. It consists of a mercury-in-glass thermometer, the index of which is a portion of the mercurial column separated from the remainder by an air bubble. The instrument is mounted horizontally, so that with a rise of temperature the detached portion moves to the right, but remains in its extreme position on a subsequent fall of temperature. The end of the index further from the bulb then indicates the maximum temperature attained.",,mercury,"[{'name': 'Prof. Phillips', 'role': 'designer'}, {'name': 'L. Casella', 'role': 'lender'}]",,1832,mercury; glass,,"This type of thermometer, in which the temperature is registered by means of a separate portion of the column The instrument is mounted horizontally, so that with a rise of temperature the detached portion moves to the right, but remains in its extreme position on a subsequent fall of temperature. The end of the index further from the bulb then indicates the maximum temperature attained.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
21,,1921-318,Whole,N/A,,loaned,STANDARD MAXIMUM THERMOMETER,"The self-registering instrument was designed and patented by Messrs. Negretti and Zambra in 1852 to indicate the maximum temperature reached since the previous observation. The thermometer stem is bent at right angles about an inch above the bulb, and near the bend is inserted a small piece of solid glass enamel which acts as a valve, allowing mercury to pass over it only on the application of heat. On subsequent cooling the column of mercury which has passed the valve cannot recede past the constriction, so that it remains in position and registers the maximum temperature. After a reading has been taken the thermometer can be reset by gently shaking the mercury past the constriction, until the lower portion of the stem is completely filled. The instrument is graduated in degrees from 10° F. to 146° F.",,,"[{'name': 'Negretti and Zambra', 'role': 'maker'}, {'name': 'Negretti and Zambra', 'role': 'lender'}, {'name': 'Negretti and Zambra', 'role': 'designer'}, {'name': 'Negretti and Zambra', 'role': 'patentee'}]",,1852,glass enamel; mercury,10° F. to 146° F.,"self-registering instrument designed and patented to indicate the maximum temperature reached since the previous observation. The thermometer stem is bent at right angles about an inch above the bulb, and near the bend is inserted a small piece of solid glass enamel which acts as a valve, allowing mercury to pass over it only on the application of heat. On subsequent cooling the column of mercury which has passed the valve cannot recede past the constriction, so that it remains in position and registers the maximum temperature. After a reading has been taken the thermometer can be reset by gently shaking the mercury past the constriction, until the lower portion of the stem is completely filled.","Pat. Specn., No. 14002",,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
22,1794,1893-158,Whole,N/A,RUTHERFORD'S MINIMUM THERMOMETER,loaned,MINIMUM THERMOMETER,"This type of minimum thermometer was designed by Dr. Rutherford in 1794 and is still in use. It is a spirit thermometer, in the column of which is a glass index. It is mounted horizontally so that a decrease of temperature causes the spirit to recede to the left, carrying back the index to the lowest position, where it remains when the temperature subsequently rises. The minimum temperature is then registered by the end of the index remote from the bulb. The instrument is set by tilting until the index slides up to the meniscus. A scale is etched on the thermometer stem and graduated in degrees from 0° to 135° F.",,,"[{'name': 'Dr. Rutherford', 'role': 'designer'}, {'name': 'L. Casella, Esq.', 'role': 'donor'}]",,1794,spirit; glass,0° to 135° F.,"This type of minimum thermometer was designed by Dr. Rutherford in 1794 and is still in use. It is a spirit thermometer, in the column of which is a glass index. It is mounted horizontally so that a decrease of temperature causes the spirit to recede to the left, carrying back the index to the lowest position, where it remains when the temperature subsequently rises. The minimum temperature is then registered by the end of the index remote from the bulb. The instrument is set by tilting until the index slides up to the meniscus.","Trans. Roy. Soc., Edin., 1794",1794,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
23,1794,1921-319,Whole,N/A,STANDARD MINIMUM THERMOMETER,loaned,STANDARD MINIMUM THERMOMETER,"This self-registering minimum thermometer is constructed on the principle proposed by Rutherford in 1794. This alcohol thermometer is used horizontally and a small glass index floats in the spirit, its end furthest from the bulb being flattened. The instrument is set by inclining it with the bulb uppermost, until the index reaches the meniscus of the indicating column, after which it is again placed in the horizontal position. Any subsequent decrease of temperature causes the index to be drawn back to the lowest point to which the alcohol recedes, but an increase of temperature has no effect, so that the end of the index remote from the bulb registers the minimum temperature which has been attained.",,,"[{'name': 'Negretti and Zambra', 'role': 'maker'}, {'name': 'Negretti and Zambra', 'role': 'donor'}, {'name': 'Rutherford', 'role': 'associated person'}]",,1794,alcohol; glass,,"This self-registering minimum thermometer is constructed on the principle proposed by Rutherford in 1794. This alcohol thermometer is used horizontally and a small glass index floats in the spirit, its end furthest from the bulb being flattened. The instrument is set by inclining it with the bulb uppermost, until the index reaches the meniscus of the indicating column, after which it is again placed in the horizontal position. Any subsequent decrease of temperature causes the index to be drawn back to the lowest point to which the alcohol recedes, but an increase of temperature has no effect, so that the end of the index remote from the bulb registers the minimum temperature which has been attained.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
24,,1893-152,Whole,N/A,,loaned,MINIMUM ALCOHOL THERMOMETER,"This minimum alcohol thermometer is constructed on Rutherford's principle, and is provided with a forked bulb which increases its sensitiveness. The instrument is mounted on a block of ebonite, beyond which the bifurcated bulb projects. The large surface area of the bulb tends to reduce sluggishness, and to improve the sensitiveness of the instrument. The stem is graduated in degrees from - 20° to 118° F.",,,"[{'name': 'L. Casella', 'role': 'donor'}, {'name': 'Rutherford', 'role': 'inventor'}]",,,"['alcohol', 'ebonite']",['- 20° to 118° F'],"This minimum alcohol thermometer is constructed on Rutherford's principle, and is provided with a forked bulb which increases its sensitiveness. The large surface area of the bulb tends to reduce sluggishness, and to improve the sensitiveness of the instrument.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
25,2306,1893-129,Whole,N/A,MERCURIAL MINIMUM THERMOMETER,donated,MERCURIAL MINIMUM THERMOMETER,"This instrument was designed and patented by Messrs. Negretti and Zambra in 1855, to indicate the minimum temperature attained since a prior observation was made. The large bulb of the thermometer is connected to a fine capillary tube, above which and continuous with it is a tube of wider bore, provided with a graduated scale and terminating at its upper end in a small bulb. A steel index pointed at both ends is free to move along the wider tube, and when set for observation its upper point is brought to the mercury level. With any contraction of the mercury column, the index falls by its own weight, but with increase of temperature the mercury expands and rises in the tube, passing the index and forcing it to the side of the tube, where it remains firmly fixed, and indicates the minimum temperature reached by the position of its upper point. A magnet serves to adjust the index, thereby setting the instrument for another observation. The scale is graduated in degrees from - 47° to 126° F.",,,"[{'name': 'G. J. Symons', 'role': 'donor'}, {'name': 'Negretti and Zambra', 'role': 'designer'}, {'name': 'Negretti and Zambra', 'role': 'patent holder'}]",,1855,"['mercury', 'steel']",['- 47° to 126° F'],"This instrument was designed and patented by Messrs. Negretti and Zambra in 1855, to indicate the minimum temperature attained since a prior observation was made.","Pat. Specn., No. 2306 of 1855",,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
26,1861,Inv. 1921-314,Whole,N/A,MERCURIAL MINIMUM THERMOMETER,loaned,MERCURIAL MINIMUM THERMOMETER,"This instrument was designed and patented by Mr. L. M. Casella in 1861, to indicate the minimum temperature attained subsequent to the previous reading. It is an ordinary mercury in glass thermometer, supported with its stem horizontal. About 1.5 in. from the bulb this horizontal stem is fitted with a lateral chamber, shouldered near its extremity, into which the mercury expands as the temperature rises, while the position of the mercury in the indicating stem remains stationary. Subsequent fall of temperature causes the mercury to recede in the stem, while that in the lateral chamber is unaffected. In this way the thermometer continually indicates the minimum temperature attained since it was last set. (See Pat. Specn., No. 2100 of 1861.)",,mercury,"[{'name': 'C. F. Casella & Co., Ltd.', 'role': 'lender'}, {'name': 'C. F. Casella & Co., Ltd.', 'role': 'maker'}, {'name': 'L. M. Casella', 'role': 'designer'}, {'name': 'L. M. Casella', 'role': 'patent holder'}]",,1861,glass; mercury,1.5 in.,This instrument was designed and patented to indicate the minimum temperature attained subsequent to the previous reading.  In this way the thermometer continually indicates the minimum temperature attained since it was last set.,"Pat. Specn., No. 2100 of 1861",,"{'count': 0, 'terms': []}","{'count': 2, 'terms': ['Messrs.', 'Pat. Specn.']}"
27,1244,1915-420,Whole,N/A,HICKS MERCURIAL MINIMUM THERMOMETER,loaned,MERCURIAL MINIMUM THERMOMETER,"Introduced in 1861. In this form of instrument, which was introduced in 1861, the temperature is ascertained by the measurement of a detached portion of the mercurial column. In the bulb is a piece of platinum wire extending from a contraction at the neck to the bottom, and above the bulb is a small air bubble by which the column is divided. During a fall of temperature, mercury passes below the air bubble (when it is in its lowest position at the neck of the bulb) into the bulb, thus shortening the column; on the temperature rising, the air bubble is raised and carries along with it the detached column unaltered in length. To take a reading, the zero of the scale is brought into line with the upper part of the air bubble, when the number corresponding to the top of the upper column will give the minimum temperature.",,mercury,"[{'name': 'Hicks', 'role': 'maker'}]",[],1861,mercury; platinum,[],"In this form of instrument, the temperature is ascertained by the measurement of a detached portion of the mercurial column. To take a reading, the zero of the scale is brought into line with the upper part of the air bubble, when the number corresponding to the top of the upper column will give the minimum temperature.",Pat. Specn.,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
28,,1921-320,Whole,N/A,,loaned,MERCURIAL MINIMUM THERMOMETER,"This self-registering instrument was designed and patented by Messrs. Negretti and Zambra in 1862, to indicate the minimum temperature reached since the previous observation. Attached to the stem of the thermometer, and about an inch above the cylindrical bulb, is a supplementary tube, in which is inserted a small platinum plug. The thermometer is used horizontally, and if it is inclined the mercury flows along the supplementary tube until it reaches the plug. On a decrease of temperature the mercury will fall in the indicating column until it attains its minimum temperature, and on a subsequent increase of temperature the mercury will rise in the supplementary tube, so that the indicating column will continue to register the minimum temperature. To reset the instrument, the bulb end of the thermometer is raised until the mercury again comes in contact and is checked by the plug.",,,"[{'name': 'Negretti and Zambra', 'role': 'maker'}, {'name': 'Negretti and Zambra', 'role': 'designer'}, {'name': 'Negretti and Zambra', 'role': 'patentee'}]",,1862,mercury;platinum,about an inch above the cylindrical bulb,This self-registering instrument was designed and patentedto indicate the minimum temperature reached since the previous observation.,"Pat. Specn., No. 1223 of 1862.",,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
29,"MINIMUM THERMOMETER, WITH FLAT BULB",1876-857,Whole,N/A,,donated,"MINIMUM THERMOMETER, WITH FLAT BULB","This spirit minimum thermometer of the steel index type is specially designed and constructed to eliminate sluggishness, which is a disadvantage of spirit thermometers. The bulb is made flat and shallow so as to expose as large a surface as possible to the atmosphere, while the glass is made as thin as is consistent with a nonbarometric action. The instrument is graduated in degrees from −27° and 138° F.",,,"[{'name': 'Dring and Fage', 'role': 'presenter'}]",,,glass; steel,-27° and 138° F,"This spirit minimum thermometer of the steel index type is specially designed and constructed to eliminate sluggishness, which is a disadvantage of spirit thermometers. The bulb is made flat and shallow so as to expose as large a surface as possible to the atmosphere, while the glass is made as thin as is consistent with a nonbarometric action.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
