RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
10,,1922-724,Whole,N/A,Geodetic Survey of Canada,,REFERENCE MARK,"Presented by the Geodetic Survey of Canada. Where the station marks of the Primary Triangulation of Canada are in danger of disturbance, or are difficult to find, reference marks of the type shown are set in outstanding rocks or in concrete monuments. Where possible, three such marks are set approximately 120° apart around the station. The mark is a similar bronze bolt to the station mark, but has an arrow engraved upon it to indicate the direction in which the station point lies.",,,"[{'name': 'Geodetic Survey of Canada', 'role': 'presenter'}]",[],,['bronze'],['approximately 120° apart'],"Where the station marks of the Primary Triangulation of Canada are in danger of disturbance, or are difficult to find, reference marks of the type shown are set in outstanding rocks or in concrete monuments. The mark is a similar bronze bolt to the station mark, but has an arrow engraved upon it to indicate the direction in which the station point lies.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
11,,1922-725,Whole,N/A,REFERENCE MONUMENT PLATE,donated,REFERENCE MONUMENT PLATE,"Where no natural rock is available, reference monuments are built by the Geodetic Survey of Canada to mark the station points. Such monuments are erected in convenient places, preferably near a road, and a plate of the type shown is embedded into them. The plate is rectangular and has two projecting shanks for fixing it into the monument.",,,"[{'name': 'Geodetic Survey of Canada', 'role': 'builder'}]",[],,[],[],"Reference monuments are built by the Geodetic Survey of Canada to mark the station points where no natural rock is available. Such monuments are erected in convenient places, preferably near a road, and a plate of the type shown is embedded into them.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
12,,1920-630,Whole,N/A,,,GEODETIC TRIANGULATION STATION MARK,"This brass bolt forms the station mark at a geodetic station of the Survey of Egypt. It is provided with two saw-cuts intersecting at right angles, and is cemented into a concrete block in the ground. Accurately built into the concrete block is an iron cylinder filled with concrete, having gaps in the bottom so that the mark can be seen. A brass and cast iron tribrach (see Cat. No. 14) is accurately centred over the mark and cemented in the top of the pillar. Upon this tribrach the theodolite rests when sighting to the station, whilst to its centre is screwed a heliograph or lamp when sighting to the station.",,,"[{'name': 'Survey of Egypt', 'role': 'presented by'}]",[],,brass; concrete; iron; cast iron,,This object is a station mark at a geodetic station used for surveying. The description details its construction and how it is used in conjunction with other surveying equipment.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
13,SELF-CENTRING GEODETIC STATION TRIBRACH,1920-627,Whole,N/A,SELF-CENTRING GEODETIC STATION TRIBRACH,donated,TRIBRACH,"This brass tribrach is built into a masonry pier and accurately centred over the concealed mark at geodetic stations in Egypt. It has three radial V-shaped grooves at angles of 120° with one another, and forms a self-centring stand for the three feet of a theodolite or signal lamp. Such a device is especially convenient in countries where the centring of signal lamps over the station point cannot always be entrusted to skilled operators.",,,"[{'name': 'Survey of Egypt', 'role': 'presenter'}]",['Egypt'],,"['brass', 'masonry']",,Forms a self-centring stand for the three feet of a theodolite or signal lamp. Such a device is especially convenient in countries where the centring of signal lamps over the station point cannot always be entrusted to skilled operators.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
14,1920-384,,Whole,N/A,Survey of Egypt,,DIAGRAM OF TRAVERSE LINES AND MARKS,"Survey of Egypt, Qaliub District. (Scale 1: 20,000.) Made in the Museum. In the Cadastral Survey of Egypt, the method of traversing with theodolite and chain is used to control the detail chain survey, and this traverse system is connected up to the points of the minor triangulation system, the actual traverse lines being chosen to conform so far as possible to the village boundaries. The azimuths of these lines are measured with a 5-in. vernier theodolite, and their lengths with 20-m. steel chains. There are about 15 traverse stations per square kilometre. In the diagram, which shows a portion of the Qaliub district on a scale of 1: 20,000, the second and third order triangulation system is shown in red, whilst the traverse lines and points are in black.",Museum,,"[{'name': 'Capt. H. G. Lyons', 'role': 'Inv.'}]",['Egypt'],1920,['steel chains'],"['1: 20,000', '5-in.', '20-m.', '1: 20,000']","The method of traversing with theodolite and chain is used to control the detail chain survey, and this traverse system is connected up to the points of the minor triangulation system, the actual traverse lines being chosen to conform so far as possible to the village boundaries. There are about 15 traverse stations per square kilometre.",['The Cadastral Survey of Egypt'],,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['vernier theodolite']}"
15,,1921-360,Whole,N/A,DRAY,donated,TRAVERSE MARK,"The liability of ordinary metal bolts and bars used as traverse marks in Egypt to removal, led H. Dray to devise this land-anchor type of mark, which is now successfully employed in the soft soil of the Nile Valley and elsewhere. The mark consists of a conical iron cap securely attached to the head of a screw pile which is buried some 6 ft. below the ground and is connected to the cap by a 1/4-in. steel cable. The cap has a central socket to receive the ranging rod and rests on a circular concrete block interposed between it and the ground. In order to drive the pile into the ground, its flexible cable is enclosed in an iron pipe of suitable length. A nut threaded on the pile-head keeps this pipe pressed against the pile at its lower end, where the pipe and pile are notched so as to interlock. The two then form a rigid pile which is driven into the ground by rotating the pipe with the pipe-grips shown. When only the head of the pile remains above ground, the nut is unscrewed and the pipe withdrawn, the space round the cable being filled with rammed earth. The concrete block, about 1 ft. diameter by 4 in. thickness, has a central hole and is next fitted over the pile-head by means of the keys shown. The adjacent diagram illustrates the process of fixing the mark in position.",,,"[{'name': 'H. Dray', 'role': 'donor'}, {'name': 'H. Dray', 'role': 'devisee'}]","[{'name': 'Egypt', 'role': 'used'}, {'name': 'Nile Valley', 'role': 'used'}]",1921,iron;steel;concrete,6 ft.;1/4-in.;1 ft. diameter;4 in. thickness,"The liability of ordinary metal bolts and bars used as traverse marks in Egypt to removal, led H. Dray to devise this land-anchor type of mark, which is now successfully employed in the soft soil of the Nile Valley and elsewhere.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Esq.']}"
16,,1920-385,Whole,N/A,DIAGRAM OF LEVELLING MARKS OF ANCIENT EGYPT,,DIAGRAM OF LEVELLING MARKS OF ANCIENT EGYPT,"Made in the Museum. When excavating near the pyramid of Seneferu (III Dynasty) at Meidum in 1891, Sir W. Flinders Petrie uncovered four corner walls of crude brick built round the angles of a rectangular tomb structure known as a ""Mastaba."" On the inner faces, which were plastered and whitewashed, level lines were drawn in red at intervals of one cubit, and numbered to show the distance of each below the ""ground level"" (nfrw). The sloping black lines show the inclination of the outer face of the masonry ""Mastaba.""",,,"[{'name': 'Sir W. Flinders Petrie', 'role': 'excavator'}]",['Museum'],Circa 2800 B.C.,"['crude brick', 'plaster', 'whitewash', 'red', 'black']",['one cubit'],"Diagram showing levelling marks used in ancient Egyptian tomb construction, specifically detailing a ""Mastaba"" tomb. The lines indicate measurement from ""ground level"" and the inclination of the masonry.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Mastaba']}"
17,,1920-387,Whole,N/A,Museum,,DIAGRAM OF FUNDAMENTAL BENCH MARK,"A number of fundamental bench marks have been fixed in the principal (first order) levelling lines in the British Isles for the purpose of verification from time to time. These bench marks are fixed in rock in order to ensure permanence and immunity from accidental disturbance. One visible mark and two concealed marks, the altitudes of which are accurately known, are provided.",,,"[{'name': 'Museum', 'role': 'maker'}]",['British Isles'],,['rock'],,"fundamental bench marks have been fixed in the principal (first order) levelling lines in the British Isles for the purpose of verification from time to time. These bench marks are fixed in rock in order to ensure permanence and immunity from accidental disturbance. One visible mark and two concealed marks, the altitudes of which are accurately known, are provided.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
18,BENCH MARK,1914-152,Whole,N/A,First Order,donated,First Order Bench Mark,"This bolt forms the upper reference point at a fundamental bench mark on the first order levelling lines of the Ordnance Survey. It is fixed in the top of a granite block forming a pillar 12 in. high, and is the mark for use in all ordinary circumstances, its level being recorded on the topographical maps.",,,"[{'name': 'Ordnance Survey', 'role': 'presenter'}]",,,granite,12 in. high,"This bolt forms the upper reference point at a fundamental bench mark on the first order levelling lines of the Ordnance Survey. It is fixed in the top of a granite block forming a pillar, and is the mark for use in all ordinary circumstances, its level being recorded on the topographical maps.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
19,BENCH MARK,1914-151,Whole,N/A,First Order,donated,First Order,"Presented by the Ordnance Survey. This bolt forms one of the two concealed reference points at a fundamental bench mark of the Ordnance Survey. It is set in rock concrete 3 ft. below ground in a concrete recess 3 ft. square by 1 ft. 9 in. deep, and will be used when necessary to determine whether any secular changes of level are in progress.",,,"[{'name': 'Ordnance Survey', 'role': 'presenter'}]",,,"['rock concrete', 'concrete']","['3 ft. below ground', '3 ft. square', '1 ft. 9 in. deep']",This bolt forms one of the two concealed reference points at a fundamental bench mark of the Ordnance Survey. It will be used when necessary to determine whether any secular changes of level are in progress.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
20,1914-153,,Whole,N/A,BENCH MARK NAME PLATE,,BENCH MARK NAME PLATE,This plate is affixed to the granite pillar of a fundamental bench mark of the Ordnance Survey.,,,"[{'name': 'Ordnance Survey', 'role': 'presenter'}]",[],,['granite'],[],This plate is affixed to the granite pillar of a fundamental bench mark of the Ordnance Survey.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
21,1914-155,,Whole,N/A,REFERENCE BENCH MARKS,,COVER OF REFERENCE BENCH MARKS,Presented by the Ordnance Survey. The cover is placed below ground in a fundamental bench mark chamber to protect the reference marks of the Ordnance Survey from interference or damage.,,,"[{'name': 'Ordnance Survey', 'role': 'presenter'}]",[],,[],[],The cover is placed below ground in a fundamental bench mark chamber to protect the reference marks of the Ordnance Survey from interference or damage.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
22,,1914-149,Whole,N/A,SECONDARY BENCH MARK,,SECONDARY BENCH MARK,"At intervals of about a mile between the fundamental bench marks of the Ordnance Survey, secondary marks are fixed on lines of first order levelling. These consist of a gun-metal plate set flush with the surface of a wall, and having an identification number cast on it. The reference point, to which the published altitude corresponds, is the top of the ""broad arrow."" In levelling, the foot of the levelling staff is brought to the same altitude as this point with the aid of a detachable bracket and a small spirit-level.",,,"[{'name': 'Ordnance Survey', 'role': 'presenter'}]",,,['gun-metal'],,"Secondary bench marks are fixed on lines of first order levelling at intervals of about a mile between the fundamental bench marks of the Ordnance Survey. They consist of a gun-metal plate set flush with the surface of a wall, with an identification number cast on it. The reference point, to which the published altitude corresponds, is the top of the ""broad arrow."" In levelling, the foot of the levelling staff is brought to the same altitude as this point with the aid of a detachable bracket and a small spirit-level.","The Second Geodetic Levelling of England and Wales, 1912-1921",1931,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
23,1914-150,,Whole,N/A,BENCH MARK BRACKET,,BENCH MARK BRACKET,"This adjustable bracket is used for supporting the levelling staff at a secondary bench mark on the lines of the first order levelling of the Ordnance Survey. The bracket is hooked on to the bench mark, and the surface, upon which the levelling staff is placed, is made level and in agreement with the reference point by means of the adjusting screw and the spirit level.",,,"[{'name': 'Ordnance Survey', 'role': 'presented by'}]",[],,[],[],"This adjustable bracket is used for supporting the levelling staff at a secondary bench mark on the lines of the first order levelling of the Ordnance Survey. The bracket is hooked on to the bench mark, and the surface, upon which the levelling staff is placed, is made level and in agreement with the reference point by means of the adjusting screw and the spirit level.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
24,,1914-423,Whole,N/A,BENCH MARK BRACKET,loaned,BENCH MARK BRACKET,"This bracket is an old type of angle iron used to support the levelling staff at an Ordnance Survey broad arrow bench mark. It has a short arm which is fitted into the horizontal groove engraved above the broad arrow, and a longer inclined supporting arm which abuts against the wall in which the mark was notched. A series of circular depressions are sunk in the upper face to receive the stud on the base of the staff, the lower level of the depressions being a horizontal plane passing through the centre line of the engraved groove. This type of supporting bracket was superseded by the modern one represented in the next example.",,,"[{'name': 'Ordnance Survey', 'role': 'lender'}]",,,['angle iron'],,"An old type of angle iron used to support the levelling staff at an Ordnance Survey broad arrow bench mark. The bracket has a short arm fitted into the horizontal groove above the broad arrow and a longer inclined supporting arm that abuts against the wall. A series of circular depressions are sunk in the upper face to receive the stud on the base of the staff, with the lower level of the depressions being a horizontal plane through the centre line of the engraved groove. This type of supporting bracket was superseded by a modern one.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['broad arrow']}"
25,,1914-424,Whole,N/A,BENCH MARK BRACKET,loaned,BENCH MARK BRACKET,"This modern type of bracket is used to support the levelling staff at a broad arrow bench mark of the Ordnance Survey. It is broader than the adjacent earlier type, and has an adjusting screw threaded through its inclined arm and a box level mounted on its horizontal arm; the end of the screw butts against the vertical wall in which the mark is engraved, and the inclination of the upper arm can be adjusted level by turning the screw. The flat base of the metal shoe forming the end of the staff rests on a stud projecting from the top of the bracket, the top of the stud being level with the centre line of the mark when the bracket is horizontal.",,,"[{'name': 'Ordnance Survey', 'role': 'lender'}]",,,['metal'],,This modern type of bracket is used to support the levelling staff at a broad arrow bench mark of the Ordnance Survey.,,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['levelling staff']}"
26,BENCH MARK,1920-76,Whole,N/A,U.S. Coast and Geodetic Survey,,BENCH MARK,This brass disc is fixed with its face flush with the building in which it is set or with its stem vertical in rock or cement. The short line in the centre is placed horizontal and serves as the reference point.,,,"[{'name': 'U.S. Coast and Geodetic Survey', 'role': 'Presented by'}]",,,['brass'],[],The short line in the centre is placed horizontal and serves as the reference point.,"['U.S. Coast and Geodetic Survey Special Publication, No. 26, p. 117.']",,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
27,"BENCH MARK, First Order",1914-109,Whole,N/A,Nivellement Général de la France,donated,"Bench Mark, First Order","This mark is used at first-order stations of the Nivellement Général de la France. It consists of a metal bolt having a grooved shank and a rectangular plate head with a recess to receive a plate, on which the height of the station point is printed. The reference point is the top of a spherical boss on a horizontal platform which projects from the plate.",,,"[{'name': 'French Government', 'role': 'presenter'}]",[],,['metal'],[],This mark is used at first-order stations of the Nivellement Général de la France.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
28,"BENCH MARK, Second Order",Inv. 1914-110,Whole,N/A,Nivellement Général de la France,donated,"BENCH MARK, Second Order","This mark is fixed at second-order stations of the Nivellement Général de la France. It is a metal bolt with a grooved shank and cylindrical head; on the top of the curved surface of the head is a small spherical boss, the top of which is the reference point. The height of this point is printed on a plate embedded in the cylindrical head.",,,"[{'name': 'French Government', 'role': 'presenter'}]",['France'],,['metal'],,This mark is fixed at second-order stations of the Nivellement Général de la France. The height of this point is printed on a plate embedded in the cylindrical head.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
29,,1920-628,Whole,N/A,BENCH MARK,donated,First Order,"This mark consists of an iron bolt 21 cm. long with a hexagonal head 5 cm. thick and 11 cm. wide. It is cemented into a vertical wall or solid rock. The point of reference is the top of a bronze hemispherical stud 1 cm. high, on the top of the upper face of the head.",,,"[{'name': 'Survey of Egypt', 'role': 'presenter'}]",,,iron;bronze,21 cm. long;5 cm. thick;11 cm. wide;1 cm. high,This mark consists of an iron boltThe point of reference is the top of a bronze hemispherical stud,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
30,,1920-629,Whole,N/A,BENCH MARK,,Second Order Bench Mark,"This mark is similar to the adjacent first order bench mark, except that it has a cylindrical head, of which the highest point is the reference point.",,,"[{'name': 'Survey of Egypt', 'role': 'presenter'}]",[],,[],[],"This mark is similar to the adjacent first order bench mark, except that it has a cylindrical head, of which the highest point is the reference point.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
31,,1922-723,Whole,N/A,BENCH MARK,,BENCH MARK,"Bronze tablets of this type are used by the Geodetic Survey of Canada to mark the station points of the Precise Levelling Network. The tablet is a circular disc of diameter 3 in., provided with a corrugated, fox-wedged shank 3 in. long, for fixing it into rock or concrete. The centre of the disc is engraved with a cross, and a number can be stamped on it with a die for reference to the record book, which contains the particulars of the corresponding station.",,,"[{'name': 'Geodetic Survey of Canada', 'role': 'Presented by'}]",[],,['Bronze'],"['diameter 3 in.', 'shank 3 in. long']","Bronze tablets of this type are used by the Geodetic Survey of Canada to mark the station points of the Precise Levelling Network. The centre of the disc is engraved with a cross, and a number can be stamped on it with a die for reference to the record book, which contains the particulars of the corresponding station.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
32,,1920-389,Whole,N/A,Survey of India,,DIAGRAM OF BENCH MARKS,"The type of mark now employed in India varies according to the character of the neighbourhood. In towns or cities the standard bench mark is used, as being less liable to interference than the metal bolts employed in Europe. In places where there is an outcrop of hard rock, the mark is made on this and suitably protected, as in the centre diagram. The embedded type of mark is more suitable in country districts, where no ground-rock or permanent stone building is available. The ""standard"" type of bench mark was first employed in 1904. It consists of a stone monolith of 2 ft. square section, 3 ft. high, set upon a foundation of concrete 6½ ft. square by 2 ft. deep. The top of the monolith is cut in the form of a frustrum of a pyramid, and terminates in a square of 3 in. side, the central point of which constitutes the mark. The date of construction of the monolith is engraved on it, together with the inscription ""G.T.S. Standard Bench Mark,"" whilst the height of its reference point above sea-level at Karachi is engraved upon a stone slab embedded in a brickwork setting round the base of the monolith. The bench-mark inscribed upon ground-rock is protected by a masonry column, closed at the top by means of a stone slab on which is engraved the inscription ""G.T. Survey, Upper Mark."" The ""embedded"" bench mark consists of a 4-in. iron pipe embedded in well-rammed earth about 2 ft. below the ground level. A brickwork arch on concrete abatments is built over this mark in order to distribute the weight of traffic passing near. Above this arch is more rammed earth surrounding a central brickwork well, closed by a stone cover with the usual inscription. This type of mark has only recently been introduced, the previous type of ""embedded"" mark being a cubical stone block buried with its upper face slightly below the ground level.",,,"[{'name': 'Survey of India', 'role': 'maker'}, {'name': 'Museum', 'role': 'maker'}]","[{'name': 'India', 'role': 'made in'}]",['1904'],"['stone', 'concrete', 'iron', 'brickwork', 'masonry']","['2 ft. square section', '3 ft. high', '6½ ft. square by 2 ft. deep', '3 in. side', '4-in. iron pipe', '2 ft. below the ground level']","['The type of mark now employed in India varies according to the character of the neighbourhood.', 'In towns or cities the standard bench mark is used, as being less liable to interference than the metal bolts employed in Europe.', 'In places where there is an outcrop of hard rock, the mark is made on this and suitably protected, as in the centre diagram.', 'The embedded type of mark is more suitable in country districts, where no ground-rock or permanent stone building is available.', 'This type of mark has only recently been introduced, the previous type of ""embedded"" mark being a cubical stone block buried with its upper face slightly below the ground level.']","['Great Trigonometrical Survey of India,"" Vol. XIX, Chap. IV']",,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['G.T.S. Standard Bench Mark']}"
